pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
re 50,edge-list,16362600,struct-edge-list,16432400,vertex-pull,19520800,vertex-pull-nodiv,18046000,vertex-pull-warp,162628000,vertex-pull-warp-nodiv,131517000,vertex-push,16148100,vertex-push-warp,136740000
re 30,edge-list,9427040,struct-edge-list,9436690,vertex-pull,11246300,vertex-pull-nodiv,10758500,vertex-pull-warp,97520500,vertex-pull-warp-nodiv,78962200,vertex-push,9418980,vertex-push-warp,82151200
re 15,edge-list,4894800,struct-edge-list,4929280,vertex-pull,5714020,vertex-pull-nodiv,5482450,vertex-pull-warp,48899200,vertex-pull-warp-nodiv,39616200,vertex-push,4920960,vertex-push-warp,41263100
re 05,edge-list,1748910,struct-edge-list,1770420,vertex-pull,2015070,vertex-pull-nodiv,2017060,vertex-pull-warp,16425200,vertex-pull-warp-nodiv,13359100,vertex-push,1754050,vertex-push-warp,13886300
rw 50,edge-list,17304800,struct-edge-list,17332100,vertex-pull,20280600,vertex-pull-nodiv,18311000,vertex-pull-warp,162445000,vertex-pull-warp-nodiv,131426000,vertex-push,16219400,vertex-push-warp,136690000
rw 30,edge-list,10338500,struct-edge-list,10379600,vertex-pull,12153000,vertex-pull-nodiv,11005000,vertex-pull-warp,97405300,vertex-pull-warp-nodiv,78965500,vertex-push,9819870,vertex-push-warp,82117400
rw 15,edge-list,5370150,struct-edge-list,5426240,vertex-pull,6270280,vertex-pull-nodiv,5612270,vertex-pull-warp,48867900,vertex-pull-warp-nodiv,39617800,vertex-push,5188200,vertex-push-warp,41297200
rw 05,edge-list,1895650,struct-edge-list,1921310,vertex-pull,2148220,vertex-pull-nodiv,2003800,vertex-pull-warp,16459600,vertex-pull-warp-nodiv,13378400,vertex-push,1864360,vertex-push-warp,13931300
,,,,,,,,,,,,,,,,
roadNet-PA.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,21397900,struct-edge-list,21468500,vertex-pull,23096000,vertex-pull-nodiv,20439600,vertex-pull-warp,179621000,vertex-pull-warp-nodiv,145532000,vertex-push,18271700,vertex-push-warp,150984000
ff 50,edge-list,10808200,struct-edge-list,10851500,vertex-pull,11958800,vertex-pull-nodiv,10622500,vertex-pull-warp,92453200,vertex-pull-warp-nodiv,75259100,vertex-push,9498180,vertex-push-warp,78002400
ff 30,edge-list,6678700,struct-edge-list,6688460,vertex-pull,7454160,vertex-pull-nodiv,6543070,vertex-pull-warp,56374000,vertex-pull-warp-nodiv,45890400,vertex-push,5876050,vertex-push-warp,47591700
ff 15,edge-list,3548520,struct-edge-list,3586900,vertex-pull,3850960,vertex-pull-nodiv,3389490,vertex-pull-warp,28468400,vertex-pull-warp-nodiv,23098300,vertex-push,3186580,vertex-push-warp,24078200
ff 05,edge-list,1541050,struct-edge-list,1632510,vertex-pull,1635560,vertex-pull-nodiv,1411330,vertex-pull-warp,10814100,vertex-pull-warp-nodiv,7821140,vertex-push,1517340,vertex-push-warp,8193220
re 50,edge-list,8967320,struct-edge-list,9017360,vertex-pull,10988900,vertex-pull-nodiv,10337400,vertex-pull-warp,93198100,vertex-pull-warp-nodiv,75521500,vertex-push,8895500,vertex-push-warp,78335500
re 30,edge-list,5427070,struct-edge-list,5459610,vertex-pull,6438200,vertex-pull-nodiv,6272200,vertex-pull-warp,56633300,vertex-pull-warp-nodiv,45952600,vertex-push,5435070,vertex-push-warp,47661900
re 15,edge-list,2880610,struct-edge-list,2943210,vertex-pull,3270890,vertex-pull-nodiv,3221810,vertex-pull-warp,28476600,vertex-pull-warp-nodiv,23090900,vertex-push,2898250,vertex-push-warp,24017300
re 05,edge-list,1364640,struct-edge-list,1388460,vertex-pull,1418500,vertex-pull-nodiv,1282850,vertex-pull-warp,10766700,vertex-pull-warp-nodiv,7953710,vertex-push,1383750,vertex-push-warp,8249790
rw 50,edge-list,9857850,struct-edge-list,9831520,vertex-pull,11560100,vertex-pull-nodiv,10501800,vertex-pull-warp,93091400,vertex-pull-warp-nodiv,75470600,vertex-push,9226960,vertex-push-warp,78262500
rw 30,edge-list,5938320,struct-edge-list,5961300,vertex-pull,6984290,vertex-pull-nodiv,6442850,vertex-pull-warp,56577500,vertex-pull-warp-nodiv,45930000,vertex-push,5713040,vertex-push-warp,47637000
rw 15,edge-list,3177760,struct-edge-list,3227840,vertex-pull,3629160,vertex-pull-nodiv,3372870,vertex-pull-warp,28460900,vertex-pull-warp-nodiv,23102600,vertex-push,3044520,vertex-push-warp,24002900
rw 05,edge-list,1411250,struct-edge-list,1422710,vertex-pull,1554850,vertex-pull-nodiv,1473900,vertex-pull-warp,10744600,vertex-pull-warp-nodiv,7989300,vertex-push,1469590,vertex-push-warp,8260140
,,,,,,,,,,,,,,,,
roadNet-TX.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,26843300,struct-edge-list,26884000,vertex-pull,28568600,vertex-pull-nodiv,25664200,vertex-pull-warp,227046000,vertex-pull-warp-nodiv,183461000,vertex-push,22824900,vertex-push-warp,190475000
ff 50,edge-list,13568400,struct-edge-list,13544900,vertex-pull,14722700,vertex-pull-nodiv,13305700,vertex-pull-warp,116607000,vertex-pull-warp-nodiv,94902800,vertex-push,11754000,vertex-push-warp,98473400
ff 30,edge-list,8373180,struct-edge-list,8381480,vertex-pull,9063850,vertex-pull-nodiv,7971390,vertex-pull-warp,68827500,vertex-pull-warp-nodiv,55928700,vertex-push,7276630,vertex-push-warp,58076100
ff 15,edge-list,4441880,struct-edge-list,4498470,vertex-pull,4922390,vertex-pull-nodiv,4303890,vertex-pull-warp,36431100,vertex-pull-warp-nodiv,29582300,vertex-push,3946230,vertex-push-warp,30780000
ff 05,edge-list,1860360,struct-edge-list,1869330,vertex-pull,2114140,vertex-pull-nodiv,1639720,vertex-pull-warp,12516400,vertex-pull-warp-nodiv,10008500,vertex-push,1783890,vertex-push-warp,10697400
re 50,edge-list,11277200,struct-edge-list,11352700,vertex-pull,13858100,vertex-pull-nodiv,13009700,vertex-pull-warp,117558000,vertex-pull-warp-nodiv,95252700,vertex-push,11196500,vertex-push-warp,98826000
re 30,edge-list,6751450,struct-edge-list,6782260,vertex-pull,7999330,vertex-pull-nodiv,7654710,vertex-pull-warp,69120500,vertex-pull-warp-nodiv,56021100,vertex-push,6778750,vertex-push-warp,58203800
re 15,edge-list,3499510,struct-edge-list,3549240,vertex-pull,4089330,vertex-pull-nodiv,4119790,vertex-pull-warp,36438400,vertex-pull-warp-nodiv,29573700,vertex-push,3544390,vertex-push-warp,30806000
re 05,edge-list,1613420,struct-edge-list,1641710,vertex-pull,1731460,vertex-pull-nodiv,1620170,vertex-pull-warp,12474000,vertex-pull-warp-nodiv,9976040,vertex-push,1640400,vertex-push-warp,10656700
rw 50,edge-list,12307300,struct-edge-list,12311500,vertex-pull,14476600,vertex-pull-nodiv,13228600,vertex-pull-warp,117406000,vertex-pull-warp-nodiv,95216600,vertex-push,11583700,vertex-push-warp,98736100
rw 30,edge-list,7404040,struct-edge-list,7431220,vertex-pull,8594870,vertex-pull-nodiv,7838960,vertex-pull-warp,69022500,vertex-pull-warp-nodiv,56026600,vertex-push,7036530,vertex-push-warp,58160500
