bfs,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
re 15,edge-list,9551780,rev-edge-list,9280390,vertex-pull,7187270,vertex-push,37132900,vertex-push-warp,51069300
re 05,edge-list,3964780,rev-edge-list,3849800,vertex-pull,4006860,vertex-push,8226020,vertex-push-warp,23976300
rw 50,edge-list,35901200,rev-edge-list,35062500,vertex-pull,19345100,vertex-push,60961900,vertex-push-warp,135682000
rw 30,edge-list,20894600,rev-edge-list,20374500,vertex-pull,12422400,vertex-push,29258400,vertex-push-warp,82292300
rw 15,edge-list,11272200,rev-edge-list,10868500,vertex-pull,8105400,vertex-push,12649000,vertex-push-warp,50232500
rw 05,edge-list,4700520,rev-edge-list,4539120,vertex-pull,4997840,vertex-push,5689680,vertex-push-warp,25996500
,,,,,,,,,,
com-amazon.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,97265300,rev-edge-list,99024500,vertex-pull,22787400,vertex-push,31791400,vertex-push-warp,142453000
ff 50,edge-list,16863200,rev-edge-list,17192300,vertex-pull,6862650,vertex-push,7935440,vertex-push-warp,31511300
ff 30,edge-list,9557420,rev-edge-list,9084620,vertex-pull,6850760,vertex-push,6124390,vertex-push-warp,19304100
ff 15,edge-list,4883350,rev-edge-list,4927570,vertex-pull,3660400,vertex-push,3897830,vertex-push-warp,10235600
ff 05,edge-list,2123420,rev-edge-list,2130770,vertex-pull,2495540,vertex-push,2646910,vertex-push-warp,4434490
re 50,edge-list,7055980,rev-edge-list,7095210,vertex-pull,5170560,vertex-push,5770330,vertex-push-warp,30718600
re 30,edge-list,776644,rev-edge-list,798093,vertex-pull,772920,vertex-push,794490,vertex-push-warp,4112800
re 15,edge-list,332131,rev-edge-list,344488,vertex-pull,310721,vertex-push,297754,vertex-push-warp,1291040
re 05,edge-list,214434,rev-edge-list,191911,vertex-pull,198805,vertex-push,194972,vertex-push-warp,684754
rw 50,edge-list,45300200,rev-edge-list,46228700,vertex-pull,21432600,vertex-push,26271600,vertex-push-warp,130655000
rw 30,edge-list,793207,rev-edge-list,806976,vertex-pull,543298,vertex-push,533971,vertex-push-warp,2745180
rw 15,edge-list,467297,rev-edge-list,485887,vertex-pull,328714,vertex-push,298183,vertex-push-warp,1298130
rw 05,edge-list,655556,rev-edge-list,656691,vertex-pull,554977,vertex-push,509108,vertex-push-warp,1812420
,,,,,,,,,,
com-dblp.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,48568300,rev-edge-list,49699600,vertex-pull,10063100,vertex-push,15011900,vertex-push-warp,61452500
ff 50,edge-list,10737700,rev-edge-list,11043100,vertex-pull,3272740,vertex-push,4450300,vertex-push-warp,18014300
ff 30,edge-list,5105140,rev-edge-list,5314490,vertex-pull,1930740,vertex-push,2541240,vertex-push-warp,9682920
ff 15,edge-list,2459760,rev-edge-list,2512780,vertex-pull,1162090,vertex-push,1717550,vertex-push-warp,4475150
ff 05,edge-list,1004110,rev-edge-list,1039640,vertex-pull,768247,vertex-push,1277440,vertex-push-warp,1973820
re 50,edge-list,15298400,rev-edge-list,15713400,vertex-pull,9590020,vertex-push,11178300,vertex-push-warp,55128400
re 30,edge-list,9912390,rev-edge-list,10175700,vertex-pull,7403110,vertex-push,9098020,vertex-push-warp,43908600
re 15,edge-list,510123,rev-edge-list,516502,vertex-pull,340207,vertex-push,373960,vertex-push-warp,1819670
re 05,edge-list,189761,rev-edge-list,197456,vertex-pull,193924,vertex-push,184073,vertex-push-warp,661699
rw 50,edge-list,17682200,rev-edge-list,18110200,vertex-pull,8257560,vertex-push,10012800,vertex-push-warp,47655000
rw 30,edge-list,11908300,rev-edge-list,12200300,vertex-pull,5847220,vertex-push,7440950,vertex-push-warp,34999400
rw 15,edge-list,8965710,rev-edge-list,9090700,vertex-pull,5356240,vertex-push,6327230,vertex-push-warp,28920400
rw 05,edge-list,695424,rev-edge-list,695494,vertex-pull,525786,vertex-push,490360,vertex-push-warp,1832630
,,,,,,,,,,
com-lj.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,1465260000,rev-edge-list,1500010000,vertex-pull,160943000,vertex-push,246236000,vertex-push-warp,708754000
ff 50,edge-list,277311000,rev-edge-list,284293000,vertex-pull,51017000,vertex-push,77181800,vertex-push-warp,185097000
ff 30,edge-list,95747400,rev-edge-list,98042000,vertex-pull,36536100,vertex-push,46007500,vertex-push-warp,94631100
ff 15,edge-list,33381400,rev-edge-list,34238100,vertex-pull,29158200,vertex-push,34162900,vertex-push-warp,48303100
ff 05,edge-list,6978290,rev-edge-list,7139250,vertex-pull,9314510,vertex-push,11153200,vertex-push-warp,14383700
re 50,edge-list,301569000,rev-edge-list,310574000,vertex-pull,105211000,vertex-push,149445000,vertex-push-warp,715364000
re 30,edge-list,172911000,rev-edge-list,178024000,vertex-pull,97124900,vertex-push,126423000,vertex-push-warp,656487000
re 15,edge-list,2874970,rev-edge-list,2922680,vertex-pull,2233420,vertex-push,2653580,vertex-push-warp,14442900
re 05,edge-list,841188,rev-edge-list,855341,vertex-pull,875799,vertex-push,965527,vertex-push-warp,5113130
rw 50,edge-list,262746000,rev-edge-list,269914000,vertex-pull,84661400,vertex-push,119770000,vertex-push-warp,578772000
rw 30,edge-list,230996000,rev-edge-list,236837000,vertex-pull,95487500,vertex-push,129356000,vertex-push-warp,675900000
rw 15,edge-list,89091900,rev-edge-list,90909100,vertex-pull,45324800,vertex-push,60345100,vertex-push-warp,312674000
rw 05,edge-list,74759800,rev-edge-list,76232400,vertex-pull,48450800,vertex-push,55881300,vertex-push-warp,286846000
,,,,,,,,,,
com-youtube.ungraph.txt,1,,2,,3,,4,,5,
graph,edge-list,128270000,rev-edge-list,131143000,vertex-pull,63620800,vertex-push,113443000,vertex-push-warp,200333000
ff 50,edge-list,15764400,rev-edge-list,16062600,vertex-pull,69003900,vertex-push,3809780,vertex-push-warp,20932300
ff 30,edge-list,15437000,rev-edge-list,15725700,vertex-pull,30658800,vertex-push,59789900,vertex-push-warp,23190500
ff 15,edge-list,8148220,rev-edge-list,8320200,vertex-pull,79108800,vertex-push,62124200,vertex-push-warp,16092200
