pagerank,version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns),version,time(ns)
ff 50,edge-list,11274400,struct-edge-list,10976700,vertex-pull-warp,118595000,vertex-pull-warp-nodiv,97109600,vertex-push,9522110,vertex-push-warp,63347500,,,,
ff 30,edge-list,6914650,struct-edge-list,6737950,vertex-pull-warp,71974500,vertex-pull-warp-nodiv,59045500,vertex-push,5955000,vertex-push-warp,38578800,,,,
ff 15,edge-list,3722240,struct-edge-list,3587560,vertex-pull-warp,37702500,vertex-pull-warp-nodiv,30481200,vertex-push,3195790,vertex-push-warp,20235300,,,,
ff 05,edge-list,1571200,struct-edge-list,1462560,vertex-pull-warp,13919100,vertex-pull-warp-nodiv,11208400,vertex-push,1353910,vertex-push-warp,7960940,,,,
re 50,edge-list,9185690,struct-edge-list,9150730,vertex-pull-warp,117573000,vertex-pull-warp-nodiv,97511000,vertex-push,9048960,vertex-push-warp,63498800,,,,
re 30,edge-list,5142010,struct-edge-list,5163750,vertex-pull-warp,71118000,vertex-pull-warp-nodiv,58910000,vertex-push,5148970,vertex-push-warp,38379000,,,,
re 15,edge-list,2625250,struct-edge-list,2637350,vertex-pull-warp,37253800,vertex-pull-warp-nodiv,30259500,vertex-push,2679240,vertex-push-warp,20079300,,,,
re 05,edge-list,1105790,struct-edge-list,1176710,vertex-pull-warp,13720000,vertex-pull-warp-nodiv,11127800,vertex-push,1125150,vertex-push-warp,7751840,,,,
rw 50,edge-list,9945460,struct-edge-list,9838900,vertex-pull-warp,117625000,vertex-pull-warp-nodiv,97175600,vertex-push,9268770,vertex-push-warp,63346800,,,,
rw 30,edge-list,5701600,struct-edge-list,5650760,vertex-pull-warp,71191600,vertex-pull-warp-nodiv,58813000,vertex-push,5457700,vertex-push-warp,38338300,,,,
rw 15,edge-list,2954420,struct-edge-list,2919400,vertex-pull-warp,37268900,vertex-pull-warp-nodiv,30289100,vertex-push,2895020,vertex-push-warp,20062900,,,,
rw 05,edge-list,1223280,struct-edge-list,1224660,vertex-pull-warp,13701100,vertex-pull-warp-nodiv,11140500,vertex-push,1225790,vertex-push-warp,7778320,,,,
,,,,,,,,,,,,,,,,
roadNet-TX.txt,1,,2,,3,,4,,5,,6,,7,,8,
graph,edge-list,28551600,struct-edge-list,27851100,vertex-pull-warp,297953000,vertex-pull-warp-nodiv,244220000,vertex-push,23774300,vertex-push-warp,159285000,,,,
ff 50,edge-list,14045400,struct-edge-list,13742400,vertex-pull-warp,150199000,vertex-pull-warp-nodiv,122926000,vertex-push,11756100,vertex-push-warp,80183800,,,,
